pid,workerid,status,beginexp,condition,pid,bonus
0,A1R1ZB8H3Q6I2P,3,2021-07-28 19:11:28.740596,2,0,0.0
1,A25UCGZ9JUXH4W,3,2021-07-28 18:51:17.943463,2,1,0.0
2,A1J0DS9IEQEQET,3,2021-07-28 18:43:32.371695,1,2,0.05
3,A2V75SZ6J2V3L5,3,2021-07-28 18:35:20.189711,3,3,0.09
4,AONX6QGGUA3KI,3,2021-07-28 18:34:44.953186,0,4,5.0
5,A3P5RFK1C6N0PJ,3,2021-07-28 18:34:14.114645,3,5,0.09
6,A3J1YT1F9N1COM,3,2021-07-28 18:29:37.673619,3,6,0.24
7,A108TYPG5MC3DB,3,2021-07-28 18:24:48.923023,0,7,0.0
8,AKHBEZZST16H1,3,2021-07-28 18:23:24.286398,0,8,0.0
9,A260HS5POLFEZQ,3,2021-07-28 18:32:54.612579,3,9,0.21
10,A3QMIZECBG6BAD,3,2021-07-28 18:18:58.274352,2,10,2.19
11,A29SG8FWQTKYN1,3,2021-07-28 18:16:29.874786,3,11,0.29
12,A3I2Y3GDCB78ZI,3,2021-07-28 18:09:40.272316,3,12,0.14
13,A23NL5BB35VB2K,3,2021-07-28 18:03:46.640154,1,13,0.0
14,A2B6IJ4DD9A5A5,3,2021-07-28 18:04:12.880929,1,14,0.0
15,A3EF6LHOKEYFIC,3,2021-07-28 18:02:47.461097,3,15,0.1
16,A10A6MCVBCOWFR,3,2021-07-28 18:00:18.980977,1,16,0.0
17,A1TKQ8IHGEVWYX,3,2021-07-28 17:57:41.048113,0,17,5.0
18,A1HJBXPMH06RQC,3,2021-07-28 17:54:06.689781,2,18,5.0
19,A2BVQWTRY5NI6V,3,2021-07-28 17:41:51.23224,3,19,0.18
20,A23NEZNTWO11YF,3,2021-07-28 17:41:16.376258,0,20,0.0
21,A14W9IB6HI5PJH,3,2021-07-28 17:37:18.886662,1,21,0.0
22,A2HEZ4001GAES4,3,2021-07-28 17:36:39.743758,2,22,5.0
23,ADZO2VRSQC62U,3,2021-07-28 17:36:37.461699,0,23,5.0
24,A305NQ2GLB6EYH,3,2021-07-28 17:37:31.170972,1,24,0.0
25,A3QMWLH7A7NSVN,3,2021-07-28 17:33:34.526346,2,25,0.0
26,A1BSR165054DHZ,3,2021-07-28 17:32:18.275506,0,26,0.0
27,A3HBMKX19GBOGR,3,2021-07-28 17:25:02.542814,3,27,0.03
28,AVDP5ZYZU2O6O,3,2021-07-28 17:24:54.434724,1,28,0.0
29,A257UIPAZR9NTN,3,2021-07-28 17:18:31.159846,0,29,0.0
30,AHJEOTXSEOG8Q,3,2021-07-28 17:17:18.53337,2,30,2.29
31,A2N2268Q4YMMXQ,3,2021-07-28 17:17:12.230198,1,31,0.0
32,A15T05M4N5DJDP,3,2021-07-28 17:18:27.98787,2,32,0.0
33,AJRB96JC0DPF9,3,2021-07-28 17:12:51.903079,0,33,0.0
34,AIGH9LKO7Z01D,3,2021-07-28 17:08:00.801612,3,34,0.0
35,AYPHZFN3HF5HS,3,2021-07-28 16:52:36.563141,0,35,0.0
36,AXKZUB95CRN72,3,2021-07-28 16:45:11.720609,1,36,0.0
37,A3ISMAKTCB1R16,3,2021-07-28 16:43:41.139751,1,37,0.01
38,A33JMA669FWKWK,3,2021-07-28 16:46:17.781893,2,38,4.97
39,AKOIX5O1DFLJX,3,2021-07-28 16:42:40.066594,3,39,0.07
40,A3J3PBFP4AA1MV,3,2021-07-28 16:40:26.407061,0,40,5.0
41,A1IVDOYTW4O3OS,3,2021-07-28 16:33:59.620279,2,41,0.0
42,A1FZW2UO2TY4T0,3,2021-07-28 16:29:06.743496,3,42,0.09
43,A2XRKDUZM4SQ42,3,2021-07-28 16:23:18.855501,1,43,0.0
44,A13ZLTV0I0UG4D,3,2021-07-28 16:22:47.978915,3,44,0.07
45,A1AZU9E0U16J6B,3,2021-07-28 16:21:59.700741,1,45,0.02
46,AH7HOR5RFS652,3,2021-07-28 16:39:23.916509,2,46,0.0
47,AOLXCOAQTC1IB,3,2021-07-28 16:22:10.564868,2,47,4.44
48,A3A4IN69KE5N7P,3,2021-07-28 16:13:47.628096,0,48,4.89
49,A283E6HS1XI9R0,3,2021-07-28 16:13:04.935138,2,49,0.0
50,A1P88646S901EZ,3,2021-07-28 16:18:32.076673,0,50,5.0
51,ARIYEUHKZ5SXQ,3,2021-07-28 16:07:43.813491,0,51,2.1
52,AMKEGABQMZYIK,3,2021-07-28 16:04:38.416934,3,52,0.14
53,A1339I3ALOFXT1,3,2021-07-28 16:00:39.414314,0,53,4.31
54,A5JSUI6L53506,3,2021-07-28 16:00:48.68733,1,54,0.1
55,ASYP5P8QMZILT,3,2021-07-28 15:50:58.824713,3,55,0.17
56,AYHIMYRAE7RFE,3,2021-07-28 15:53:05.479172,0,56,0.0
57,A1WLS6DW73SQZO,3,2021-07-28 15:48:59.137532,2,57,0.0
58,A1N2C2BAKGZE2B,3,2021-07-28 15:48:15.072063,0,58,0.26
59,A3AE0JEXW4DB34,3,2021-07-28 15:49:18.726092,3,59,0.09
60,A2HOVWSV2UUQA4,3,2021-07-28 15:37:12.748945,2,60,4.72
61,A1K9U12WRMQX8E,3,2021-07-28 15:37:18.657788,1,61,0.01
62,A2LUL0QE90HUU5,3,2021-07-28 15:37:23.055192,1,62,0.0
63,A3Q7YXO43C7E6G,3,2021-07-28 15:31:23.030553,2,63,3.09
64,A3D2KVZO69GSX4,3,2021-07-28 15:30:15.926004,0,64,0.0
65,A2GEZ6XW9FVSPN,3,2021-07-28 15:29:08.830661,2,65,0.0
66,A1V47X2FTSIXM5,3,2021-07-28 15:27:29.793243,3,66,0.1
67,A2391QJGLV0SYV,3,2021-07-28 15:21:22.58548,3,67,0.06
68,A3RIRUMQ2CYHZA,3,2021-07-28 15:19:48.859126,1,68,0.0
69,A3RAQ0O1RGU1NL,3,2021-07-28 15:19:21.441079,1,69,0.0
70,A3MEIEN1LHMNK8,3,2021-07-28 15:22:00.699968,2,70,2.29
71,A7O1CG4QYBEIP,3,2021-07-28 15:18:42.512408,0,71,0.84
72,A133UVO2DSJ2CE,3,2021-07-28 15:20:25.530665,3,72,0.14
73,A1WRNCU7LFNGRV,3,2021-07-28 15:18:42.782463,1,73,0.02
74,A2QCNNV5FN65UM,3,2021-07-28 15:17:38.078279,2,74,1.86
75,A1HHXMUY2SUIRT,3,2021-07-28 15:23:21.99158,3,75,0.02
76,A2VUDILEXWYWRX,3,2021-07-28 15:25:05.85143,2,76,5.0
77,A2W0R8UIJADP0L,3,2021-07-28 15:08:49.943387,3,77,0.09
78,A3CGOCU0KSM5ZU,3,2021-07-28 15:07:37.229335,0,78,5.0
79,A2XS2OFYZKF9UW,3,2021-07-28 15:05:13.096939,1,79,0.0
80,A1FQDFM7BJ8GTR,3,2021-07-28 15:02:54.368965,1,80,0.0
81,A1W733PYS4GWT1,3,2021-07-28 14:59:47.315742,2,81,5.0
82,A2Z33RY61HYW6A,3,2021-07-28 14:58:57.113487,0,82,2.54
83,A2JMH1H1AYH5FR,3,2021-07-28 14:51:58.084804,2,83,5.0
84,A2UYXRPN41PLQE,3,2021-07-28 14:55:21.284688,1,84,0.05
85,A3SM9441BRDQN0,3,2021-07-28 14:50:13.38632,3,85,0.02
86,A1QY3T6RLW68R3,3,2021-07-28 14:41:46.449362,1,86,0.0
87,A1GON75HGVWTMC,3,2021-07-28 14:53:12.309007,0,87,5.0
88,A2046TO5K7O4F2,3,2021-07-28 14:43:33.986976,2,88,5.0
89,A1Q7Z4ONZMOODU,3,2021-07-28 14:43:37.342308,2,89,0.0
90,A3LEORBLIO6127,3,2021-07-28 14:39:50.731253,1,90,0.0
91,ATKUVPJEKZWKY,3,2021-07-28 14:39:04.651249,3,91,0.11
92,A2HUJDDGBAAV22,3,2021-07-28 14:36:09.891211,0,92,0.71
93,A2PWP4EIUKTSV4,3,2021-07-28 14:35:58.870488,0,93,5.0
94,AZB93TK8UL24R,3,2021-07-28 14:30:34.165948,2,94,1.15
95,AHDUC59YMB0Z4,3,2021-07-28 14:31:01.414551,0,95,0.0
96,AURV4U0LV5NFJ,3,2021-07-28 14:25:39.134602,0,96,0.0
97,A2VN0R4EGGV7KE,3,2021-07-28 14:24:39.908883,1,97,0.09
98,A15DXD3Z1AHK6C,3,2021-07-28 14:22:36.234798,1,98,0.13
99,A2A0D5GGSNXRTW,3,2021-07-28 14:20:57.764806,3,99,0.25
100,A1QN8ZXC3FNB1W,3,2021-07-28 14:19:31.722763,1,100,0.0
101,A2SI3YQJLPWPZ,3,2021-07-28 14:17:07.443192,0,101,0.63
102,A2328BC1EPV043,3,2021-07-28 14:16:15.562818,1,102,0.0
103,A1NF408HYCSN32,3,2021-07-28 14:11:52.631082,2,103,0.0
104,A29WD0WXT4I1RA,3,2021-07-28 14:10:42.024163,3,104,0.04
105,A2KWPS7YQS4HPT,3,2021-07-28 14:11:18.712367,3,105,0.07
106,A1MXO2L9F3OKWW,3,2021-07-28 14:04:59.219395,3,106,0.12
107,A2C7VPGUGY5RAE,3,2021-07-28 14:06:32.823499,1,107,0.0
108,A283Z0YWQIEYUM,3,2021-07-28 14:02:29.740548,2,108,0.0
109,A3PZDJLZUDVJMT,3,2021-07-28 13:58:56.731066,2,109,0.0
110,A390TAQDSFEBN9,3,2021-07-28 13:58:01.63217,3,110,0.02
111,A3OQLGDE9IVNZE,3,2021-07-28 13:56:58.415005,2,111,0.0
112,AFJFYJZ849YOZ,3,2021-07-28 13:59:43.335169,0,112,0.0
113,A2K6F2F4JJ1J2V,3,2021-07-28 13:55:14.256711,3,113,0.12
114,A3EYQ04WV5G3LN,3,2021-07-28 13:51:12.904234,2,114,0.0
115,AZC3V2TNMU3IC,3,2021-07-28 13:51:34.957893,3,115,0.09
116,A3ESWBP9YZ7AW,3,2021-07-28 13:50:03.505545,2,116,0.0
117,A3VD8Q04OOZ7W0,3,2021-07-28 13:46:53.276232,0,117,0.0
118,AB9PHYURNXZDU,3,2021-07-28 13:45:23.79891,2,118,0.42
119,A2AXOTU8SGDNRJ,3,2021-07-28 13:48:07.303375,0,119,0.0
120,A1LNTRTF4H27XB,3,2021-07-28 14:05:39.701388,1,120,0.07
121,A1M21S1FNT817B,3,2021-07-28 13:45:22.411609,3,121,0.12
122,A2AL32PKOIO3EC,3,2021-07-28 13:42:59.481153,0,122,0.0
123,A1HLGPBGCSPEI,3,2021-07-28 13:41:50.180812,3,123,0.24
124,A1HJ8GQE6I1X6J,3,2021-07-28 13:41:04.624296,1,124,0.0
125,A1YELUOOM96MOT,3,2021-07-28 13:40:06.175118,2,125,0.0
126,A2KYEDAQPUZ5EU,3,2021-07-28 13:40:19.55266,0,126,5.0
127,A2NBFE3OPY8JOH,3,2021-07-28 13:37:03.65414,3,127,0.02
128,A1TYUFWIIT5CN4,3,2021-07-28 13:59:44.381201,1,128,0.0
129,A1KVM3MU0JDMD1,3,2021-07-28 13:35:08.222564,2,129,5.0
130,A7VA2Y4H6U31O,3,2021-07-28 13:33:45.890419,3,130,0.08
131,A2CEYQH4UDNIEV,3,2021-07-28 13:32:34.856597,0,131,0.0
132,A1C2XGJAYMIB5E,3,2021-07-28 13:30:50.55859,1,132,0.0
133,A1SEYTDDA0DQZ,3,2021-07-28 13:29:42.554187,0,133,0.0
134,A3NF7DQBRWCO7I,3,2021-07-28 13:27:15.539558,2,134,0.0
135,A3FXILATXJFUP8,3,2021-07-28 13:32:59.185025,1,135,0.0
136,A2ULYTT4RRUUVC,3,2021-07-28 13:27:53.683138,0,136,4.72
137,A04923991F3PSJNU8U7NT,3,2021-07-28 13:27:29.078802,3,137,0.09
138,A3IYQ8GR8C7AZ4,3,2021-07-28 13:25:05.480249,1,138,0.0
139,A28ONUEPHW2MYN,3,2021-07-28 13:23:51.318328,2,139,0.0
140,A1HA5CCTFPW9XU,3,2021-07-28 13:22:42.721021,1,140,0.0
141,A3VMFCG9L3XOB2,3,2021-07-28 13:17:06.790155,0,141,5.0
142,A2V9JE42W9BXQ5,3,2021-07-28 13:19:52.987991,3,142,0.23
143,A27OXXF9NU2UZH,3,2021-07-28 13:22:22.493983,3,143,0.0
144,A33W9GXZOYYYCB,3,2021-07-28 13:16:54.894235,1,144,0.04
145,A4CHVZXH1SW6J,3,2021-07-28 13:07:14.462497,0,145,0.0
146,A30BUL1A4CA1OZ,3,2021-07-28 12:59:43.911362,0,146,5.0
147,A3VT0RKPR2NIJC,3,2021-07-28 12:58:26.281602,1,147,0.0
148,ARPHT9QVC26PZ,3,2021-07-28 12:56:18.314356,3,148,0.03
149,A3SRB5O79E0N5U,3,2021-07-28 12:56:47.472511,2,149,0.0
150,A3AV0VB57J8RXD,3,2021-07-28 12:57:24.044009,2,150,0.75
151,A1F04SJJSSWA1N,3,2021-07-28 12:52:35.891964,0,151,5.0
152,A17J7LP55044EM,3,2021-07-28 12:51:31.675484,3,152,0.01
153,A3U01JD1ZRRHPL,3,2021-07-28 12:50:08.580099,1,153,0.0
154,A3KFU1B6FIWK7N,3,2021-07-28 12:51:20.482662,0,154,2.17
155,A2ZNOBR1582SW3,3,2021-07-28 12:48:23.800254,3,155,0.11
156,A74WSJU2N2I0U,3,2021-07-28 12:46:45.692214,2,156,0.0
157,A3DG8M8G0L4DNZ,3,2021-07-28 12:46:09.490369,1,157,0.06
158,A1JMJCVG86Y5RT,3,2021-07-28 12:46:23.174206,0,158,5.0
159,AK97OS43VMCDM,3,2021-07-28 12:41:20.626036,3,159,0.1
160,A3TA59WCWPS2EH,3,2021-07-28 12:34:51.560814,1,160,0.0
161,A3VRW4BA7LREYO,3,2021-07-28 12:28:43.471657,2,161,0.12
162,AFQBIZY6BT7P2,3,2021-07-28 12:27:34.720829,0,162,0.0
163,A1016Q2ELX1T3L,3,2021-07-28 12:31:57.4663,1,163,0.0
164,A1P7SR0R2B60C7,3,2021-07-28 12:25:11.925025,2,164,0.0
165,APG6CXGVDL0G5,3,2021-07-28 12:24:24.523675,3,165,0.0
166,A326WOXXK2ZPM3,3,2021-07-28 12:21:43.442208,1,166,0.0
167,A1XYRNIMSNZ6AA,3,2021-07-28 12:21:13.398927,2,167,0.0
168,A1KD8SJ4EUQT1Q,3,2021-07-28 12:19:49.663128,0,168,5.0
169,A1E7IRBPHID9JC,3,2021-07-28 12:18:16.490722,2,169,1.59
170,A2Q0D3TOREOIQ8,3,2021-07-28 12:23:43.703119,3,170,0.0
171,A2J2ZAEFRA1S79,3,2021-07-28 12:16:20.062783,1,171,0.03
172,A2X27TXN39UJH8,3,2021-07-28 12:15:02.740331,3,172,0.1
173,A3PISZLVW5X0CU,3,2021-07-28 12:13:40.271868,2,173,0.0
174,A3Q9UIPBY9QWLA,3,2021-07-28 12:11:31.951609,1,174,0.0
175,A3E3LU8ZC5NFD9,3,2021-07-28 12:11:44.551009,0,175,5.0
176,A3CHCHE8TLA9BC,2,2021-07-28 12:15:37.70271,3,176,0.0
177,A1QNI46XVFT86V,3,2021-07-28 12:15:29.145536,2,177,5.0
178,A6JTBYCI46ROJ,3,2021-07-28 12:05:09.523857,3,178,0.08
179,AVKYS273GAXRM,3,2021-07-28 11:59:41.722971,3,179,0.02
180,A2Q8Q1N2C3SVNI,3,2021-07-28 12:00:20.328629,0,180,0.32
181,A3TV9D4TJ1RW3Z,3,2021-07-28 11:55:33.686561,1,181,0.09
182,A61J0B264OIL0,3,2021-07-28 11:54:37.837305,2,182,4.16
183,A228VEULML8HFA,3,2021-07-28 11:53:57.215361,1,183,0.0
184,A222BKNKWIQMG1,3,2021-07-28 11:51:23.354216,3,184,0.14
185,A1097WCLVB5Y8J,3,2021-07-28 11:49:02.833539,0,185,0.0
186,A3B4CNX1GH6O54,3,2021-07-28 11:44:04.864027,3,186,0.09
187,A3GM2XEEX64UVX,3,2021-07-28 11:26:20.132173,0,187,5.0
188,A2AKWJQZHDQEXM,3,2021-07-28 11:18:22.018676,2,188,2.79
189,ABFJSOC07JFH2,3,2021-07-28 11:15:10.702538,0,189,5.0
190,A3LFVI65XV1T46,3,2021-07-28 11:14:47.573852,3,190,0.1
191,A33SHC202AZD92,3,2021-07-28 11:15:47.182752,2,191,3.31
192,A3OQ2IHS3KKIHY,3,2021-07-28 11:16:05.048387,1,192,0.0
193,A2PWYWLB0TNVRU,3,2021-07-28 11:11:41.212312,0,193,0.0
194,A1ADKYQMD1GU7A,3,2021-07-28 11:06:02.647629,1,194,0.0
195,A2N9WNWD5GPM6O,3,2021-07-28 11:06:13.201066,2,195,3.91
196,A3A6IHRYUR9STO,3,2021-07-28 11:05:57.083046,3,196,0.09
197,ABSK9TAZ0NNRD,3,2021-07-28 10:57:44.317287,0,197,0.0
198,A2PDJIY8LWG63N,3,2021-07-28 10:56:01.884754,2,198,4.19
199,A8V0L2YF8U6OX,3,2021-07-28 10:58:43.927406,2,199,0.0
200,A3PSY76FRTWBBI,3,2021-07-28 10:52:57.678899,3,200,0.17
201,A32UH026VJNT6D,3,2021-07-28 10:42:50.058586,1,201,0.0
202,A1ZQKZ2ZZRWTCN,3,2021-07-28 10:38:23.575194,0,202,0.0
203,ADPNI115MW4RP,3,2021-07-28 10:25:25.049336,1,203,0.0
204,A2Y6I83P3FWWJN,3,2021-07-28 10:23:37.462127,2,204,5.0
205,A398O60Z1KEZM8,3,2021-07-28 10:23:45.858577,0,205,0.0
206,A2CCHNM5S3OLH3,3,2021-07-28 10:14:33.774487,1,206,0.0
207,A20D9HRB03PITM,3,2021-07-28 10:15:10.632995,3,207,0.2
